"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TATAMOTORS","EQ","16-Jul-2015","        394.30","        394.90","        398.65","        392.45","        394.50","        395.25","        395.32","    5199913","          2055624278.35","      95705"
"TATAMOTORS","EQ","17-Jul-2015","        395.25","        395.95","        403.25","        390.40","        397.00","        398.05","        396.60","    6590110","          2613646127.05","     110324"
"TATAMOTORS","EQ","20-Jul-2015","        398.05","        399.00","        401.90","        389.30","        390.55","        390.75","        393.38","    5777196","          2272629828.15","     102991"
"TATAMOTORS","EQ","21-Jul-2015","        390.75","        391.80","        393.30","        386.10","        389.10","        389.10","        389.85","    6461958","          2519173241.10","      63661"
"TATAMOTORS","EQ","22-Jul-2015","        389.10","        388.00","        392.80","        385.95","        389.00","        389.55","        389.96","    5955109","          2322248619.65","      80913"
"TATAMOTORS","EQ","23-Jul-2015","        389.55","        388.75","        403.40","        385.00","        402.50","        401.35","        395.58","    9510349","          3762103019.25","     121015"
"TATAMOTORS","EQ","24-Jul-2015","        401.35","        397.55","        399.35","        389.00","        389.65","        390.25","        394.40","    7059848","          2784406012.80","      88833"
"TATAMOTORS","EQ","27-Jul-2015","        390.25","        384.25","        385.25","        373.00","        377.25","        377.45","        378.20","    8450904","          3196162184.90","     113307"
"TATAMOTORS","EQ","28-Jul-2015","        377.45","        373.00","        374.90","        366.10","        370.00","        370.10","        369.60","   10975840","          4056642646.90","     122703"
"TATAMOTORS","EQ","29-Jul-2015","        370.10","        373.90","        379.95","        372.70","        379.00","        376.45","        375.43","    9532212","          3578648275.90","      86033"
"TATAMOTORS","EQ","30-Jul-2015","        376.45","        381.65","        382.50","        376.00","        379.00","        377.45","        378.71","    6562559","          2485334615.95","      71589"
"TATAMOTORS","EQ","31-Jul-2015","        377.45","        380.80","        390.50","        380.05","        384.00","        383.85","        384.71","    6947628","          2672851217.60","      85495"
"TATAMOTORS","EQ","03-Aug-2015","        383.85","        386.35","        394.40","        382.00","        387.55","        388.20","        390.27","    6647982","          2594500112.70","      82764"
"TATAMOTORS","EQ","04-Aug-2015","        388.20","        385.90","        387.00","        378.00","        381.15","        380.75","        381.85","    5621275","          2146456910.80","      90701"
