Date,Open,High,Low,Last,Close,Total Traded Quantity,Turnover
16-Jul-2015,394.9,398.65,392.45,394.5,395.25,5199913,2055624278.35
17-Jul-2015,395.95,403.25,390.4,397.0,398.05,6590110,2613646127.05
20-Jul-2015,399.0,401.9,389.3,390.55,390.75,5777196,2272629828.15
21-Jul-2015,391.8,393.3,386.1,389.1,389.1,6461958,2519173241.1
22-Jul-2015,388.0,392.8,385.95,389.0,389.55,5955109,2322248619.65
23-Jul-2015,388.75,403.4,385.0,402.5,401.35,9510349,3762103019.25
24-Jul-2015,397.55,399.35,389.0,389.65,390.25,7059848,2784406012.8
27-Jul-2015,384.25,385.25,373.0,377.25,377.45,8450904,3196162184.9
28-Jul-2015,373.0,374.9,366.1,370.0,370.1,10975840,4056642646.9
29-Jul-2015,373.9,379.95,372.7,379.0,376.45,9532212,3578648275.9
30-Jul-2015,381.65,382.5,376.0,379.0,377.45,6562559,2485334615.95
31-Jul-2015,380.8,390.5,380.05,384.0,383.85,6947628,2672851217.6
03-Aug-2015,386.35,394.4,382.0,387.55,388.2,6647982,2594500112.7
04-Aug-2015,385.9,387.0,378.0,381.15,380.75,5621275,2146456910.8
05-Aug-2015,378.75,388.5,375.1,376.0,376.4,8298929,3166663808.25
06-Aug-2015,376.5,384.7,373.2,382.6,383.1,7976356,3027531836.35
07-Aug-2015,382.4,396.0,382.4,392.75,393.4,10706804,4175962593.55
10-Aug-2015,384.0,395.3,382.1,383.0,385.7,14494111,5641218378.0
11-Aug-2015,387.1,388.0,367.55,367.85,369.15,9984809,3746749900.15
12-Aug-2015,365.0,365.85,353.55,356.4,355.2,11107801,3972658131.45
13-Aug-2015,356.9,360.95,348.0,350.6,349.4,11147702,3936846352.55
14-Aug-2015,351.45,359.75,345.1,355.05,355.25,6400810,2256935237.4
17-Aug-2015,354.4,362.3,345.25,356.0,356.1,5812093,2063052970.95
18-Aug-2015,355.85,358.35,347.7,348.55,348.6,5623977,1979496452.65
19-Aug-2015,348.7,354.9,344.0,352.0,351.25,6435894,2260886574.15
20-Aug-2015,348.0,349.7,341.0,343.0,342.2,7789676,2679266212.4
21-Aug-2015,339.4,339.4,327.75,332.9,332.4,8793065,2911324857.3
24-Aug-2015,317.0,317.0,301.6,303.95,308.25,14753473,4601922033.25
25-Aug-2015,308.0,331.35,305.8,329.5,328.85,13398318,4268794380.4
26-Aug-2015,322.0,341.4,318.25,331.4,335.1,13781660,4584288338.4
27-Aug-2015,338.4,342.55,327.25,338.15,334.05,17224851,5771195052.8
28-Aug-2015,342.0,342.0,335.25,340.6,340.05,7123909,2409902676.85
31-Aug-2015,340.0,348.75,332.45,340.4,340.15,7244287,2463102612.5
01-Sep-2015,334.95,339.35,325.1,328.0,329.9,8606005,2869463130.85
02-Sep-2015,328.85,332.5,321.45,324.0,324.45,8097313,2636461439.0
03-Sep-2015,326.2,339.8,326.2,331.7,333.55,8138855,2722778126.7
04-Sep-2015,330.0,330.8,316.0,323.8,322.9,6592654,2118450375.0
07-Sep-2015,327.8,333.0,320.0,324.0,322.85,5357928,1748759910.15
08-Sep-2015,326.0,333.25,316.3,331.2,330.9,6729868,2196193104.1
09-Sep-2015,335.35,350.7,333.6,345.0,344.9,8833492,3024920519.45
10-Sep-2015,340.05,356.45,331.0,355.0,354.1,9872906,3435068315.5
11-Sep-2015,354.9,358.9,342.25,343.6,344.6,8569963,3000172495.45
14-Sep-2015,348.9,350.9,342.25,345.95,346.8,5480940,1905158897.0
15-Sep-2015,345.95,345.95,333.05,334.35,334.1,5802405,1960624036.4
16-Sep-2015,337.7,340.4,332.5,337.3,338.05,5708786,1926223090.75
18-Sep-2015,329.2,333.8,326.85,332.35,330.25,14893326,4919961733.85
21-Sep-2015,326.85,334.9,325.65,331.65,331.7,5172386,1716501737.85
22-Sep-2015,332.0,333.6,314.0,315.0,315.8,7122834,2304610756.75
23-Sep-2015,311.0,312.55,306.25,310.2,310.3,8954516,2776975126.8
24-Sep-2015,309.7,312.0,301.6,302.45,303.4,13799813,4215117588.55
28-Sep-2015,304.4,304.4,283.5,284.65,285.0,13577316,3964105759.5
29-Sep-2015,281.2,294.8,279.1,288.05,288.75,12304403,3517094968.35
30-Sep-2015,289.25,299.75,288.1,298.0,298.6,12926187,3823731279.3
01-Oct-2015,301.45,301.5,291.5,296.3,297.75,7501080,2218889102.95
05-Oct-2015,302.5,322.1,302.5,315.0,315.15,14527820,4588143033.15
06-Oct-2015,320.55,334.7,319.55,333.25,333.7,18806867,6183037486.25
07-Oct-2015,333.9,345.0,329.0,342.8,341.35,17802539,6057653162.85
08-Oct-2015,343.8,347.3,341.55,343.7,343.25,12085332,4155718928.2
09-Oct-2015,346.2,359.2,341.1,358.25,356.45,11635790,4076865694.2
12-Oct-2015,356.5,367.0,356.4,363.85,362.35,10509775,3815648496.1
13-Oct-2015,360.0,365.25,355.05,361.5,361.1,9969583,3587678690.35
14-Oct-2015,358.75,360.25,351.1,353.55,352.3,7009418,2487928242.25
15-Oct-2015,355.3,383.75,355.3,380.0,381.3,19487376,7293949153.4
16-Oct-2015,388.6,390.95,380.65,386.75,386.2,16497652,6368044969.85
19-Oct-2015,384.0,384.0,376.25,378.85,378.7,7455714,2828439065.7
20-Oct-2015,379.0,395.75,377.4,382.25,383.15,15426131,5986314459.55
21-Oct-2015,379.95,386.4,378.55,380.9,381.45,8720671,3337432024.7
23-Oct-2015,383.9,388.8,382.0,382.6,383.0,6744440,2595463672.95
26-Oct-2015,386.45,389.9,383.25,384.05,384.6,5064657,1954346793.4
27-Oct-2015,383.0,386.95,382.2,383.6,383.35,4423221,1701338805.9
28-Oct-2015,382.8,390.75,382.2,387.0,386.3,8018683,3093490877.5
29-Oct-2015,388.95,396.8,384.25,388.4,391.2,15381516,6025849686.0
30-Oct-2015,389.75,390.8,383.5,384.8,384.95,6651831,2573297160.6
02-Nov-2015,386.1,392.05,384.4,388.5,387.95,7511675,2924834938.85
03-Nov-2015,391.25,391.25,380.8,382.3,382.05,5887746,2267226112.45
04-Nov-2015,390.05,407.25,390.05,406.6,404.85,13985828,5638163558.85
05-Nov-2015,403.6,412.8,401.45,404.0,404.0,12912937,5254484996.0
06-Nov-2015,399.9,404.4,392.5,394.15,396.15,11016134,4387889950.95
09-Nov-2015,374.0,413.5,373.05,412.0,411.75,22128119,8903014580.05
10-Nov-2015,408.0,417.4,402.7,405.5,407.45,12654616,5216456607.0
11-Nov-2015,408.75,414.0,408.05,411.25,411.3,1164924,479338278.25
13-Nov-2015,411.35,417.5,401.8,403.65,403.95,11007237,4482658200.0
16-Nov-2015,401.0,404.85,394.2,399.75,400.25,7673487,3064245433.75
17-Nov-2015,403.0,410.7,398.55,408.0,407.5,6063987,2459619830.45
18-Nov-2015,407.95,413.5,403.25,406.3,406.25,6960097,2847025895.35
19-Nov-2015,409.9,409.9,403.5,407.3,406.95,5645524,2298254655.95
20-Nov-2015,408.5,410.7,401.35,404.25,402.85,5420173,2200801013.6
23-Nov-2015,400.35,404.4,396.5,402.5,402.1,4658448,1867519457.45
24-Nov-2015,399.1,406.5,397.05,401.9,400.95,5624579,2256203484.3
26-Nov-2015,404.75,426.45,404.0,422.0,424.4,15070353,6289812299.15
27-Nov-2015,425.55,431.9,416.45,418.0,417.65,9720127,4128419248.65
30-Nov-2015,419.9,429.6,418.0,423.5,423.25,9901753,4202924953.7
01-Dec-2015,427.0,427.0,416.1,418.0,417.35,6402692,2691864633.9
02-Dec-2015,415.9,418.9,410.3,411.55,413.15,6543300,2716922774.85
03-Dec-2015,408.7,411.9,404.25,406.0,405.6,5999323,2443953153.9
04-Dec-2015,402.5,411.5,398.7,400.7,399.95,8477407,3430720147.75
07-Dec-2015,402.9,403.0,395.3,398.2,399.15,6156323,2455080932.5
08-Dec-2015,396.95,406.95,396.1,401.85,402.4,7851653,3173984392.8
09-Dec-2015,402.8,405.0,392.75,394.15,393.95,6103583,2425952214.0
10-Dec-2015,401.2,401.2,385.25,389.0,389.6,10684178,4170532645.9
11-Dec-2015,390.9,392.65,375.3,379.0,377.95,6537672,2504674161.3
14-Dec-2015,369.75,373.5,360.5,372.0,371.6,12682481,4670899269.55
15-Dec-2015,371.25,380.95,365.5,379.1,379.5,7717531,2883704753.8
16-Dec-2015,375.9,385.0,372.85,380.15,380.45,11874858,4517691708.7
17-Dec-2015,385.0,387.0,376.05,382.15,382.95,7604665,2900989217.7
18-Dec-2015,381.9,384.8,376.8,379.0,378.25,6454322,2460061168.75
21-Dec-2015,379.1,382.55,377.5,380.15,380.15,4015631,1523780830.85
22-Dec-2015,380.9,382.8,377.2,377.55,378.1,3802024,1445366575.6
23-Dec-2015,379.9,380.85,377.5,378.7,378.45,3953766,1498656678.9
24-Dec-2015,380.9,384.75,377.6,382.35,382.4,4568751,1747067022.75
28-Dec-2015,384.9,395.0,383.75,394.85,394.0,7166351,2805898239.4
29-Dec-2015,392.9,397.5,388.75,390.7,391.85,7359611,2891966153.6
30-Dec-2015,392.0,395.0,390.5,394.0,393.45,4866177,1912943149.5
31-Dec-2015,394.0,395.75,389.15,391.6,391.3,6410622,2511996476.7
01-Jan-2016,392.5,403.0,373.0,401.8,401.9,4377363,1743245783.55
04-Jan-2016,400.0,400.1,375.05,376.15,377.05,7822660,3001899664.45
05-Jan-2016,381.05,382.45,372.1,373.0,374.45,6901068,2604167529.1
06-Jan-2016,374.25,375.5,364.6,365.0,365.9,7211230,2668409641.05
07-Jan-2016,356.25,358.0,338.1,344.8,343.55,11782307,4098190192.85
08-Jan-2016,345.6,355.85,345.6,353.9,353.35,8770370,3086909728.7
11-Jan-2016,343.9,364.75,341.65,360.45,360.2,10576721,3778927411.95
12-Jan-2016,362.7,363.95,351.6,355.4,355.0,8363062,2980240755.55
13-Jan-2016,360.45,369.8,356.3,363.0,364.6,14191511,5146417256.6
14-Jan-2016,356.1,359.4,346.8,353.8,354.3,10673343,3768066472.7
15-Jan-2016,353.9,353.9,339.35,340.7,341.3,6557584,2277785214.85
18-Jan-2016,341.0,343.3,334.4,340.5,340.2,6285144,2132457170.6
19-Jan-2016,343.0,357.2,342.0,354.25,354.15,7304555,2565279292.6
20-Jan-2016,349.65,349.65,338.8,341.9,342.25,9156596,3143593476.7
21-Jan-2016,340.65,344.15,323.0,327.6,328.55,16524035,5468131177.9
22-Jan-2016,335.5,345.9,331.5,339.65,339.5,9595392,3251057157.2
25-Jan-2016,345.5,345.5,331.15,333.6,332.6,6106931,2069632852.25
27-Jan-2016,338.0,341.0,333.2,336.9,337.05,8333202,2814138079.75
28-Jan-2016,336.3,341.4,332.3,333.85,334.2,13153617,4410479188.2
29-Jan-2016,332.0,340.6,324.2,336.9,336.9,10350998,3462041237.5
01-Feb-2016,338.75,342.4,332.25,335.25,338.5,6563774,2216535914.35
02-Feb-2016,343.8,344.7,327.7,329.0,329.55,9179304,3089960402.75
03-Feb-2016,325.55,325.95,317.05,320.95,320.3,6685445,2147138625.65
04-Feb-2016,325.3,329.3,321.2,327.05,325.5,6086981,1983074734.3
05-Feb-2016,330.5,339.0,326.65,336.7,337.1,9236577,3081712197.1
08-Feb-2016,334.95,334.95,321.35,322.45,323.5,6974342,2293290572.3
09-Feb-2016,319.5,322.65,308.8,311.05,310.65,12489713,3935422389.55
10-Feb-2016,309.85,309.95,288.25,288.7,291.55,21756193,6442687119.75
11-Feb-2016,298.5,300.0,265.8,271.3,276.35,21632886,6191986128.65
12-Feb-2016,281.0,303.95,271.6,296.05,298.35,21542152,6235428493.55
15-Feb-2016,297.9,320.75,297.7,316.05,317.25,18888699,5899487907.15
16-Feb-2016,319.4,324.2,298.9,301.8,301.15,13598374,4248887884.95
17-Feb-2016,302.95,313.5,298.65,312.1,310.15,13717526,4196137895.8
18-Feb-2016,315.15,319.1,306.2,312.15,314.0,12498247,3922759418.45
19-Feb-2016,312.1,320.0,311.1,318.05,318.2,7706462,2431659393.65
22-Feb-2016,320.0,324.2,313.6,319.8,318.85,8699779,2766945427.1
23-Feb-2016,324.0,324.75,314.45,317.5,318.55,11635881,3702513927.05
24-Feb-2016,316.0,316.0,304.75,306.55,306.3,7629905,2359103428.95
25-Feb-2016,309.8,312.2,296.2,299.7,298.2,12959812,3928138651.4
26-Feb-2016,303.2,305.2,297.6,302.25,301.8,9181680,2766223509.7
29-Feb-2016,303.2,305.75,290.25,300.0,299.7,12607181,3784469911.95
01-Mar-2016,301.1,317.0,301.1,315.0,315.35,11440045,3542502719.25
02-Mar-2016,322.9,326.0,314.35,316.55,317.1,12418149,3983874902.8
03-Mar-2016,324.5,339.8,321.5,337.0,336.7,12844057,4262265334.0
04-Mar-2016,340.15,348.75,338.65,343.45,343.5,8197520,2821562337.85
08-Mar-2016,346.5,353.75,341.5,345.5,346.05,7888999,2741665867.1
09-Mar-2016,339.9,349.0,336.0,347.75,347.7,6383925,2191801852.4
10-Mar-2016,347.0,353.6,341.4,348.2,348.5,7443048,2588712313.35
11-Mar-2016,348.5,355.9,345.15,353.35,354.25,7641330,2677532365.5
14-Mar-2016,359.9,370.55,358.95,365.5,366.45,13066837,4787830891.75
15-Mar-2016,366.9,370.7,359.55,361.2,360.4,9800731,3565450813.7
16-Mar-2016,359.95,362.75,353.3,362.0,359.55,7554537,2700966415.5
17-Mar-2016,366.9,367.4,358.6,359.5,360.9,6914296,2513595483.2
18-Mar-2016,362.5,367.8,362.5,366.05,366.05,6594019,2409004384.7
21-Mar-2016,367.25,375.5,365.75,374.85,374.7,9325793,3463154601.4
22-Mar-2016,376.95,381.5,370.4,376.0,377.2,8909026,3352319119.95
23-Mar-2016,378.0,379.45,374.05,376.0,377.0,5766182,2172356144.85
28-Mar-2016,375.5,375.5,361.5,364.0,363.3,8062793,2968744549.55
29-Mar-2016,364.0,378.95,363.05,371.65,372.45,9364810,3484029966.4
30-Mar-2016,380.5,391.5,376.8,391.1,388.6,10295891,3945907239.95
31-Mar-2016,387.9,393.6,380.5,388.7,386.6,10738707,4165952832.6
01-Apr-2016,386.4,386.4,377.7,380.15,379.65,5683771,2163561151.65
04-Apr-2016,385.95,391.0,382.4,387.4,388.4,6011729,2328038453.3
05-Apr-2016,386.0,386.0,369.0,370.05,370.5,6058241,2287710483.5
06-Apr-2016,373.7,382.4,372.05,376.25,376.7,7323269,2768164576.4
07-Apr-2016,375.95,384.8,370.3,375.2,375.2,8724110,3294463129.85
08-Apr-2016,375.5,380.05,370.5,371.6,371.45,4860484,1820726699.7
11-Apr-2016,373.95,387.8,373.9,386.0,386.65,6827449,2602205795.65
12-Apr-2016,387.95,397.4,387.15,395.5,395.8,7702684,3027549941.8
13-Apr-2016,400.0,411.75,398.15,408.65,408.75,12373115,5037443990.9
18-Apr-2016,407.65,409.9,402.5,407.0,407.35,5571076,2263116756.5
20-Apr-2016,407.0,410.35,400.65,403.85,404.1,7589901,3080243737.2
21-Apr-2016,408.7,417.2,406.0,410.5,411.5,9211869,3790068646.45
22-Apr-2016,412.1,420.5,408.0,417.1,417.0,5995998,2494804238.35
25-Apr-2016,417.6,417.6,410.0,412.0,412.2,3272996,1350953355.85
26-Apr-2016,408.65,423.65,405.05,418.35,419.05,6998505,2916830580.8
27-Apr-2016,418.95,425.25,414.65,419.1,418.55,6227941,2620408235.7
28-Apr-2016,418.8,420.95,409.7,410.45,411.35,7546101,3122376408.4
29-Apr-2016,410.0,413.7,403.05,408.1,408.35,6251095,2548713443.55
02-May-2016,407.95,410.45,402.5,408.2,407.7,4178821,1700632782.15
